transaction_id,customer_id,amount,transaction_type,transaction_date,status,segment,account_created_date,tx_hour,tx_day_of_week,account_age_days,is_high_value
44,41,25.54,TRANSFER,2025-10-21 13:17:56,PROCESSED,RETAIL,2023-10-21,13,1,731,0
45,49,1584.81,CREDIT,2025-09-30 11:52:08,PROCESSED,CORPORATE,2022-03-15,11,1,1295,1
46,15,1634.22,DEBIT,2026-01-04 07:02:40,PENDING,SME,2022-12-01,7,6,1130,1
47,88,3182.11,CREDIT,2025-06-14 03:17:41,FAILED,RETAIL,2021-07-17,3,5,1428,1
48,53,4353.48,TRANSFER,2025-08-12 12:36:27,PROCESSED,SME,2024-06-05,12,1,433,1
49,2,1005.96,TRANSFER,2025-11-04 16:17:02,PROCESSED,RETAIL,2022-11-16,16,1,1084,1
50,23,3381.02,DEBIT,2025-03-24 15:28:05,PROCESSED,SME,2025-08-13,15,0,-142,1
51,43,2795.2,CREDIT,2025-06-28 02:27:22,PROCESSED,CORPORATE,2023-04-05,2,5,815,1
52,6,4045.82,TRANSFER,2025-05-13 23:31:10,PROCESSED,SME,2021-09-12,23,1,1339,1
53,44,1113.35,CREDIT,2025-07-17 14:09:47,PROCESSED,CORPORATE,2025-02-21,14,3,146,1
54,8,3951.8,CREDIT,2026-01-31 14:00:27,PROCESSED,SME,2025-02-26,14,5,339,1
55,3,936.91,DEBIT,2026-01-11 15:24:53,PENDING,SME,2023-08-30,15,6,865,1
56,1,2962.66,CREDIT,2025-10-18 03:32:19,PROCESSED,SME,2026-01-26,3,5,-100,1
57,18,4377.09,TRANSFER,2025-10-05 10:03:31,PROCESSED,RETAIL,2025-03-25,10,6,194,1
58,26,609.55,DEBIT,2025-12-26 15:01:51,FAILED,SME,2022-08-16,15,4,1228,1
59,12,1681.54,TRANSFER,2025-12-03 15:16:59,PENDING,RETAIL,2022-04-06,15,2,1337,1
60,47,256.58,DEBIT,2025-12-23 10:35:49,PROCESSED,RETAIL,2024-04-23,10,1,609,0
61,20,1259.17,TRANSFER,2025-06-30 22:37:21,FAILED,RETAIL,2021-04-15,22,0,1537,1
62,10,395.77,DEBIT,2025-09-25 14:04:59,PROCESSED,RETAIL,2021-10-27,14,3,1429,0
63,16,4033.41,DEBIT,2025-05-08 00:44:59,PROCESSED,CORPORATE,2023-07-03,0,3,675,1
64,70,715.56,CREDIT,2025-06-09 03:16:12,PROCESSED,SME,2025-04-12,3,0,58,1
65,26,2896.53,DEBIT,2025-11-19 05:16:34,PROCESSED,SME,2022-08-16,5,2,1191,1
66,52,2137.08,DEBIT,2025-09-06 09:36:13,FAILED,SME,2023-08-24,9,5,744,1
67,70,3097.59,TRANSFER,2026-01-27 06:46:51,PROCESSED,SME,2025-04-12,6,1,290,1
68,32,1467.74,TRANSFER,2026-01-26 12:43:43,PROCESSED,CORPORATE,2025-04-09,12,0,292,1
69,86,3562.04,TRANSFER,2025-11-17 19:58:52,FAILED,RETAIL,2024-05-14,19,0,552,1
70,61,1686.99,TRANSFER,2025-05-06 16:36:38,PROCESSED,SME,2025-11-05,16,1,-183,1
71,74,4243.06,TRANSFER,2025-07-05 14:45:26,FAILED,SME,2022-03-28,14,5,1195,1
72,55,1824.88,TRANSFER,2025-12-13 05:39:16,PROCESSED,SME,2022-04-15,5,5,1338,1
73,11,3253.38,CREDIT,2025-11-28 00:50:10,PROCESSED,RETAIL,2023-02-12,0,4,1020,1
74,62,2655.45,DEBIT,2026-01-22 16:36:13,PROCESSED,RETAIL,2024-12-05,16,3,413,1
75,73,4713.67,TRANSFER,2025-08-20 21:05:31,PROCESSED,SME,2021-02-12,21,2,1650,1
76,11,4081.24,TRANSFER,2025-04-29 00:36:18,PROCESSED,RETAIL,2023-02-12,0,1,807,1
77,65,530.72,TRANSFER,2025-05-17 12:36:42,PROCESSED,CORPORATE,2024-07-20,12,5,301,1
78,68,4450.07,CREDIT,2025-05-05 01:22:08,PROCESSED,CORPORATE,2025-10-11,1,0,-159,1
79,62,389.37,DEBIT,2025-06-23 10:36:00,PROCESSED,RETAIL,2024-12-05,10,0,200,0
80,29,2040.48,TRANSFER,2025-02-22 23:02:05,PROCESSED,RETAIL,2024-11-30,23,5,84,1
81,10,2679.72,CREDIT,2026-01-08 17:27:40,PROCESSED,RETAIL,2021-10-27,17,3,1534,1
82,33,2419.32,CREDIT,2025-07-02 23:02:29,PROCESSED,SME,2025-06-23,23,2,9,1
83,4,1725.9,DEBIT,2025-03-03 05:32:51,PROCESSED,SME,2021-07-30,5,0,1312,1
84,5,4685.94,CREDIT,2025-12-12 13:36:18,PROCESSED,SME,2024-11-02,13,4,405,1
85,98,4531.57,DEBIT,2025-07-26 13:19:38,FAILED,SME,2025-01-22,13,5,185,1
86,83,4581.69,CREDIT,2025-05-16 23:56:10,PROCESSED,CORPORATE,2023-09-18,23,4,606,1
87,60,3130.66,TRANSFER,2025-11-17 04:35:28,PROCESSED,RETAIL,2024-02-05,4,0,651,1
88,55,37.82,CREDIT,2025-07-11 12:32:41,PROCESSED,SME,2022-04-15,12,4,1183,0
89,29,1164.71,DEBIT,2025-08-26 22:07:12,FAILED,RETAIL,2024-11-30,22,1,269,1
90,36,2714.3,TRANSFER,2025-12-14 12:29:11,PROCESSED,CORPORATE,2022-08-10,12,6,1222,1
91,39,1662.19,DEBIT,2025-12-15 23:18:40,PROCESSED,CORPORATE,2024-02-19,23,0,665,1
92,18,329.49,CREDIT,2025-06-06 03:10:26,PROCESSED,RETAIL,2025-03-25,3,4,73,0
93,31,4239.95,TRANSFER,2025-07-03 10:47:49,PENDING,SME,2021-09-16,10,3,1386,1
94,19,160.69,TRANSFER,2026-01-08 04:38:01,PROCESSED,SME,2025-06-06,4,3,216,0
95,73,1781.64,CREDIT,2025-08-12 22:11:01,PROCESSED,SME,2021-02-12,22,1,1642,1
96,68,4641.01,CREDIT,2025-12-26 22:56:40,PROCESSED,CORPORATE,2025-10-11,22,4,76,1
97,41,2097.24,TRANSFER,2026-01-30 07:29:37,PROCESSED,RETAIL,2023-10-21,7,4,832,1
98,97,757.47,DEBIT,2025-05-31 10:31:44,PROCESSED,RETAIL,2021-09-02,10,5,1367,1
99,28,144.6,CREDIT,2025-04-09 00:39:11,PROCESSED,RETAIL,2022-01-12,0,2,1183,0
100,90,304.69,DEBIT,2026-01-13 05:20:53,PROCESSED,CORPORATE,2024-04-18,5,1,635,0
101,63,3036.97,DEBIT,2025-03-06 02:44:41,PROCESSED,SME,2021-04-24,2,3,1412,1
102,16,752.88,CREDIT,2025-09-06 01:37:53,PROCESSED,CORPORATE,2023-07-03,1,5,796,1
103,27,3733.05,CREDIT,2025-11-11 04:14:46,PROCESSED,SME,2023-03-01,4,1,986,1
104,38,2744.42,TRANSFER,2025-05-23 07:42:07,PROCESSED,CORPORATE,2023-01-31,7,4,843,1
105,95,2566.95,DEBIT,2025-06-12 20:22:50,PROCESSED,RETAIL,2023-09-11,20,3,640,1
106,26,4820.79,DEBIT,2025-11-25 21:56:09,PROCESSED,SME,2022-08-16,21,1,1197,1
107,68,354.65,CREDIT,2025-03-11 02:29:27,PROCESSED,CORPORATE,2025-10-11,2,1,-214,0
108,82,3895.58,TRANSFER,2025-10-24 10:42:46,PROCESSED,RETAIL,2024-01-31,10,4,632,1
109,35,1837.1,TRANSFER,2025-12-13 02:36:39,PROCESSED,SME,2025-02-12,2,5,304,1
110,84,4024.09,TRANSFER,2025-11-23 06:46:20,PROCESSED,CORPORATE,2025-03-26,6,6,242,1
111,62,4714.8,DEBIT,2025-11-04 13:26:52,PROCESSED,RETAIL,2024-12-05,13,1,334,1
112,87,3700.67,DEBIT,2025-06-09 13:53:54,PROCESSED,CORPORATE,2022-02-03,13,0,1222,1
113,42,3995.59,CREDIT,2025-02-18 01:17:18,PROCESSED,SME,2022-01-30,1,1,1115,1
114,70,3255.38,TRANSFER,2025-03-06 07:19:51,PROCESSED,SME,2025-04-12,7,3,-37,1
115,17,3283.9,CREDIT,2026-01-15 16:36:43,PROCESSED,RETAIL,2022-01-30,16,3,1446,1
116,16,2967.39,TRANSFER,2026-01-06 14:38:11,PROCESSED,CORPORATE,2023-07-03,14,1,918,1
117,63,3388.03,TRANSFER,2025-03-02 00:29:33,PROCESSED,SME,2021-04-24,0,6,1408,1
118,69,2748.93,DEBIT,2025-04-24 08:34:27,PROCESSED,RETAIL,2021-10-19,8,3,1283,1
119,34,2032.64,TRANSFER,2025-11-26 19:24:30,PROCESSED,RETAIL,2025-09-02,19,2,85,1
120,42,934.0,TRANSFER,2025-12-07 18:57:06,FAILED,SME,2022-01-30,18,6,1407,1
121,52,1921.49,DEBIT,2025-05-12 17:49:42,PENDING,SME,2023-08-24,17,0,627,1
122,16,2668.37,TRANSFER,2025-03-20 20:56:59,PROCESSED,CORPORATE,2023-07-03,20,3,626,1
123,20,169.56,CREDIT,2025-11-08 11:36:31,PROCESSED,RETAIL,2021-04-15,11,5,1668,0
124,59,4390.0,CREDIT,2025-12-30 16:02:26,PROCESSED,RETAIL,2023-07-06,16,1,908,1
125,62,1083.94,DEBIT,2025-07-25 07:11:12,PROCESSED,RETAIL,2024-12-05,7,4,232,1
126,84,768.92,TRANSFER,2025-08-23 08:00:31,PROCESSED,CORPORATE,2025-03-26,8,5,150,1
127,55,1170.14,TRANSFER,2025-12-10 13:20:32,PROCESSED,SME,2022-04-15,13,2,1335,1
128,5,431.13,CREDIT,2025-12-26 02:55:42,PROCESSED,SME,2024-11-02,2,4,419,0
129,76,4680.14,TRANSFER,2025-09-03 18:37:02,PROCESSED,CORPORATE,2021-07-22,18,2,1504,1
130,12,3211.35,TRANSFER,2026-01-17 19:03:58,PROCESSED,RETAIL,2022-04-06,19,5,1382,1
131,97,2119.85,CREDIT,2025-11-10 11:09:29,PROCESSED,RETAIL,2021-09-02,11,0,1530,1
132,18,1775.37,DEBIT,2025-07-17 11:18:56,PROCESSED,RETAIL,2025-03-25,11,3,114,1
133,9,1968.2,TRANSFER,2025-04-26 16:34:21,PROCESSED,RETAIL,2024-02-20,16,5,431,1
134,65,1618.35,CREDIT,2025-06-06 12:16:16,PROCESSED,CORPORATE,2024-07-20,12,4,321,1
135,90,2318.47,CREDIT,2025-12-31 09:26:32,PROCESSED,CORPORATE,2024-04-18,9,2,622,1
136,97,3614.24,DEBIT,2025-06-10 16:15:43,PROCESSED,RETAIL,2021-09-02,16,1,1377,1
137,81,1989.26,DEBIT,2025-05-13 00:34:25,PROCESSED,SME,2024-06-20,0,1,327,1
138,70,2765.79,TRANSFER,2025-11-30 15:40:06,PROCESSED,SME,2025-04-12,15,6,232,1
139,24,1012.78,DEBIT,2025-06-21 13:20:42,PROCESSED,RETAIL,2024-11-09,13,5,224,1
140,79,2919.65,TRANSFER,2025-08-31 14:18:09,PROCESSED,SME,2024-04-25,14,6,493,1
141,17,2995.53,DEBIT,2025-09-08 22:29:55,PROCESSED,RETAIL,2022-01-30,22,0,1317,1
142,74,3896.78,DEBIT,2025-08-12 15:40:56,PENDING,SME,2022-03-28,15,1,1233,1
143,15,1005.22,TRANSFER,2025-06-11 09:28:34,PROCESSED,SME,2022-12-01,9,2,923,1
144,1,4396.88,CREDIT,2026-01-06 04:51:40,PROCESSED,SME,2026-01-26,4,1,-20,1
145,54,4445.93,CREDIT,2025-10-17 02:37:10,PROCESSED,RETAIL,2023-12-07,2,4,680,1
146,3,3104.93,CREDIT,2025-11-05 00:41:40,PROCESSED,SME,2023-08-30,0,2,798,1
147,13,3847.58,TRANSFER,2025-08-28 20:26:36,PROCESSED,CORPORATE,2023-10-26,20,3,672,1
148,23,209.43,CREDIT,2026-02-08 21:20:08,PROCESSED,SME,2025-08-13,21,6,179,0
149,48,3660.56,CREDIT,2025-10-13 01:23:49,PENDING,SME,2023-05-16,1,0,881,1
150,86,2789.27,TRANSFER,2025-04-15 18:59:42,PROCESSED,RETAIL,2024-05-14,18,1,336,1
151,60,2649.67,DEBIT,2026-01-20 06:02:13,PROCESSED,RETAIL,2024-02-05,6,1,715,1
152,75,3690.35,DEBIT,2025-11-23 04:00:38,PROCESSED,RETAIL,2021-07-28,4,6,1579,1
153,12,4450.23,TRANSFER,2025-07-06 21:41:46,PROCESSED,RETAIL,2022-04-06,21,6,1187,1
154,86,4294.16,CREDIT,2025-04-23 21:59:49,PENDING,RETAIL,2024-05-14,21,2,344,1
155,45,4225.55,CREDIT,2025-03-24 07:14:02,PROCESSED,CORPORATE,2021-07-29,7,0,1334,1
156,86,2035.86,CREDIT,2025-09-06 08:37:16,PROCESSED,RETAIL,2024-05-14,8,5,480,1
157,67,371.85,TRANSFER,2026-01-13 16:27:46,PROCESSED,RETAIL,2021-10-13,16,1,1553,0
158,13,4383.49,TRANSFER,2025-11-13 10:39:47,FAILED,CORPORATE,2023-10-26,10,3,749,1
159,97,2692.43,DEBIT,2025-10-04 21:49:26,PROCESSED,RETAIL,2021-09-02,21,5,1493,1
160,58,1818.54,CREDIT,2025-06-18 13:51:11,PROCESSED,CORPORATE,2024-08-27,13,2,295,1
161,46,4297.58,DEBIT,2025-10-11 00:17:56,PROCESSED,RETAIL,2024-09-30,0,5,376,1
162,97,2647.6,DEBIT,2025-12-11 06:04:17,PROCESSED,RETAIL,2021-09-02,6,3,1561,1
163,77,4158.89,CREDIT,2025-09-03 07:42:11,PROCESSED,CORPORATE,2023-02-03,7,2,943,1
164,95,4237.02,TRANSFER,2025-03-09 20:24:24,PENDING,RETAIL,2023-09-11,20,6,545,1
165,85,657.38,DEBIT,2025-09-16 15:39:30,PROCESSED,SME,2023-11-17,15,1,669,1
166,94,199.97,DEBIT,2025-10-16 18:08:23,PROCESSED,CORPORATE,2024-06-15,18,3,488,0
167,84,4662.58,DEBIT,2025-12-15 22:48:38,PROCESSED,CORPORATE,2025-03-26,22,0,264,1
168,61,2728.02,CREDIT,2026-01-16 19:27:11,PROCESSED,SME,2025-11-05,19,4,72,1
169,20,162.36,CREDIT,2025-09-15 19:14:59,PROCESSED,RETAIL,2021-04-15,19,0,1614,0
170,4,4701.19,CREDIT,2025-04-14 20:56:47,PROCESSED,SME,2021-07-30,20,0,1354,1
171,17,262.28,CREDIT,2025-08-29 12:17:59,PROCESSED,RETAIL,2022-01-30,12,4,1307,0
172,69,1424.66,DEBIT,2025-08-03 00:23:52,PROCESSED,RETAIL,2021-10-19,0,6,1384,1
173,2,1337.83,CREDIT,2025-02-20 05:28:15,PROCESSED,RETAIL,2022-11-16,5,3,827,1
174,13,1490.74,DEBIT,2025-03-01 10:50:50,PROCESSED,CORPORATE,2023-10-26,10,5,492,1
175,82,1845.54,DEBIT,2025-06-25 07:29:12,PROCESSED,RETAIL,2024-01-31,7,2,511,1
176,46,2772.95,DEBIT,2025-04-13 20:43:31,PENDING,RETAIL,2024-09-30,20,6,195,1
177,43,4643.64,CREDIT,2025-03-29 23:32:57,PROCESSED,CORPORATE,2023-04-05,23,5,724,1
178,83,1348.55,TRANSFER,2025-11-12 15:03:36,PROCESSED,CORPORATE,2023-09-18,15,2,786,1
179,72,321.14,TRANSFER,2025-08-15 08:42:41,PROCESSED,RETAIL,2023-11-25,8,4,629,0
180,51,2926.9,DEBIT,2025-12-24 15:10:02,PROCESSED,SME,2024-09-28,15,2,452,1
181,63,1416.58,CREDIT,2025-12-30 22:41:03,PROCESSED,SME,2021-04-24,22,1,1711,1
182,51,1401.72,TRANSFER,2025-10-03 19:43:21,PROCESSED,SME,2024-09-28,19,4,370,1
183,46,3575.9,DEBIT,2025-06-06 00:14:49,PROCESSED,RETAIL,2024-09-30,0,4,249,1
184,13,3955.0,CREDIT,2025-12-23 14:41:33,PROCESSED,CORPORATE,2023-10-26,14,1,789,1
185,86,2741.73,CREDIT,2025-04-22 07:30:02,PROCESSED,RETAIL,2024-05-14,7,1,343,1
186,75,1529.82,DEBIT,2025-11-16 22:36:59,PROCESSED,RETAIL,2021-07-28,22,6,1572,1
187,6,540.56,DEBIT,2025-11-12 01:08:47,PROCESSED,SME,2021-09-12,1,2,1522,1
188,90,4753.46,CREDIT,2026-01-09 07:29:46,PROCESSED,CORPORATE,2024-04-18,7,4,631,1
189,10,520.5,TRANSFER,2025-11-24 17:32:18,PROCESSED,RETAIL,2021-10-27,17,0,1489,1
190,75,3627.72,CREDIT,2025-11-03 06:14:59,PROCESSED,RETAIL,2021-07-28,6,0,1559,1
191,42,2437.92,DEBIT,2025-11-27 14:54:12,PROCESSED,SME,2022-01-30,14,3,1397,1
192,96,4119.89,DEBIT,2025-03-12 11:09:12,PENDING,CORPORATE,2023-05-21,11,2,661,1
193,71,1439.73,DEBIT,2026-01-19 02:19:39,PROCESSED,CORPORATE,2024-12-09,2,0,406,1
194,87,4544.3,TRANSFER,2025-04-28 17:57:55,PROCESSED,CORPORATE,2022-02-03,17,0,1180,1
195,43,2175.67,CREDIT,2025-04-10 07:27:14,PROCESSED,CORPORATE,2023-04-05,7,3,736,1
196,3,3342.21,TRANSFER,2025-10-01 00:45:06,PROCESSED,SME,2023-08-30,0,2,763,1
197,90,4883.73,CREDIT,2025-12-08 08:41:06,PENDING,CORPORATE,2024-04-18,8,0,599,1
198,78,3039.8,CREDIT,2026-01-03 20:08:57,PROCESSED,SME,2021-07-22,20,5,1626,1
199,83,399.96,CREDIT,2025-05-12 15:14:31,PENDING,CORPORATE,2023-09-18,15,0,602,0
200,66,3964.31,TRANSFER,2025-11-26 17:57:38,PROCESSED,CORPORATE,2024-06-02,17,2,542,1
201,24,3169.94,CREDIT,2025-04-28 03:01:46,PROCESSED,RETAIL,2024-11-09,3,0,170,1
202,63,2880.7,CREDIT,2025-02-11 17:10:26,PROCESSED,SME,2021-04-24,17,1,1389,1
203,52,2668.04,DEBIT,2025-11-18 17:39:00,PROCESSED,SME,2023-08-24,17,1,817,1
204,36,1671.34,DEBIT,2026-01-07 00:44:24,PENDING,CORPORATE,2022-08-10,0,2,1246,1
205,57,1047.11,DEBIT,2025-12-11 04:37:25,PENDING,SME,2021-04-01,4,3,1715,1
206,25,3831.91,CREDIT,2025-10-23 06:38:28,PROCESSED,CORPORATE,2022-07-19,6,3,1192,1
207,83,179.38,DEBIT,2025-10-27 09:35:24,FAILED,CORPORATE,2023-09-18,9,0,770,0
208,58,3706.52,TRANSFER,2025-11-08 19:37:27,PROCESSED,CORPORATE,2024-08-27,19,5,438,1
209,7,452.33,TRANSFER,2025-12-15 17:53:21,PROCESSED,RETAIL,2023-12-04,17,0,742,0
210,41,3618.93,DEBIT,2025-10-27 19:12:21,PROCESSED,RETAIL,2023-10-21,19,0,737,1
211,3,167.43,TRANSFER,2025-03-17 09:57:26,PROCESSED,SME,2023-08-30,9,0,565,0
212,5,2560.67,DEBIT,2025-07-22 16:41:24,PROCESSED,SME,2024-11-02,16,1,262,1
213,74,3960.69,DEBIT,2025-10-15 02:15:15,PROCESSED,SME,2022-03-28,2,2,1297,1
214,96,2854.75,CREDIT,2025-12-22 12:43:54,PROCESSED,CORPORATE,2023-05-21,12,0,946,1
215,23,2664.29,CREDIT,2026-02-01 22:45:14,PROCESSED,SME,2025-08-13,22,6,172,1
216,43,1514.12,DEBIT,2025-02-09 16:21:55,PROCESSED,CORPORATE,2023-04-05,16,6,676,1
217,20,2715.74,DEBIT,2025-04-04 15:13:36,PROCESSED,RETAIL,2021-04-15,15,4,1450,1
218,95,4885.76,CREDIT,2025-05-26 19:06:52,PROCESSED,RETAIL,2023-09-11,19,0,623,1
219,75,3575.71,DEBIT,2025-04-27 11:59:51,PROCESSED,RETAIL,2021-07-28,11,6,1369,1
220,99,1331.25,TRANSFER,2025-07-05 03:13:24,PENDING,CORPORATE,2024-07-15,3,5,355,1
221,22,4675.21,CREDIT,2025-05-31 18:37:13,FAILED,RETAIL,2024-05-21,18,5,375,1
222,62,935.66,DEBIT,2025-08-06 10:26:57,PENDING,RETAIL,2024-12-05,10,2,244,1
223,14,1224.59,DEBIT,2026-01-29 13:16:17,PROCESSED,RETAIL,2022-03-14,13,3,1417,1
224,55,2049.27,DEBIT,2025-03-16 14:11:59,PROCESSED,SME,2022-04-15,14,6,1066,1
225,48,1248.11,CREDIT,2025-07-26 14:44:19,PROCESSED,SME,2023-05-16,14,5,802,1
226,94,2144.72,TRANSFER,2025-10-04 11:37:42,FAILED,CORPORATE,2024-06-15,11,5,476,1
227,70,2576.82,DEBIT,2025-02-24 04:38:49,PROCESSED,SME,2025-04-12,4,0,-47,1
228,96,2248.43,CREDIT,2025-05-03 06:03:36,PENDING,CORPORATE,2023-05-21,6,5,713,1
229,17,3799.1,TRANSFER,2025-06-15 07:33:26,PROCESSED,RETAIL,2022-01-30,7,6,1232,1
230,91,4432.79,TRANSFER,2025-08-01 18:15:16,PENDING,CORPORATE,2025-02-07,18,4,175,1
231,52,120.55,TRANSFER,2025-10-16 11:31:55,PROCESSED,SME,2023-08-24,11,3,784,0
232,11,3813.47,DEBIT,2025-03-15 08:53:16,PROCESSED,RETAIL,2023-02-12,8,5,762,1
233,16,940.04,TRANSFER,2025-03-05 12:43:19,PROCESSED,CORPORATE,2023-07-03,12,2,611,1
234,92,1935.67,CREDIT,2025-04-27 23:29:00,PROCESSED,RETAIL,2025-07-13,23,6,-77,1
235,41,2092.77,TRANSFER,2025-08-14 19:31:11,FAILED,RETAIL,2023-10-21,19,3,663,1
236,79,4643.25,TRANSFER,2025-03-22 19:22:03,PROCESSED,SME,2024-04-25,19,5,331,1
237,61,3947.17,TRANSFER,2025-05-27 19:53:35,PROCESSED,SME,2025-11-05,19,1,-162,1
238,19,2309.95,DEBIT,2025-08-18 06:57:48,PENDING,SME,2025-06-06,6,0,73,1
239,13,4808.18,CREDIT,2025-12-14 02:07:51,PROCESSED,CORPORATE,2023-10-26,2,6,780,1
240,14,4495.7,CREDIT,2025-04-25 08:52:54,PROCESSED,RETAIL,2022-03-14,8,4,1138,1
241,3,2199.4,CREDIT,2025-05-25 15:31:53,PROCESSED,SME,2023-08-30,15,6,634,1
242,21,1574.06,TRANSFER,2025-07-28 01:25:09,PROCESSED,CORPORATE,2024-01-30,1,0,545,1
243,87,1265.43,DEBIT,2025-10-18 10:40:43,PENDING,CORPORATE,2022-02-03,10,5,1353,1
244,75,4278.46,TRANSFER,2025-05-29 10:52:37,PROCESSED,RETAIL,2021-07-28,10,3,1401,1
245,24,1929.34,TRANSFER,2025-10-04 08:19:22,PROCESSED,RETAIL,2024-11-09,8,5,329,1
246,71,2414.32,CREDIT,2025-10-06 11:33:14,PROCESSED,CORPORATE,2024-12-09,11,0,301,1
247,55,4405.51,TRANSFER,2025-05-06 16:44:48,PROCESSED,SME,2022-04-15,16,1,1117,1
248,91,296.26,TRANSFER,2025-06-02 03:50:26,PROCESSED,CORPORATE,2025-02-07,3,0,115,0
249,12,3258.78,DEBIT,2025-08-17 13:14:41,PROCESSED,RETAIL,2022-04-06,13,6,1229,1
250,79,1429.23,CREDIT,2025-12-01 16:32:37,PROCESSED,SME,2024-04-25,16,0,585,1
